index,close_time,transaction_id,positions,BTCUSDT_units,LUNCUSDT_units,entry_BTCUSDT_price,entry_LUNCUSDT_price,historical_BTCUSDT_mid,historical_LUNCUSDT_mid,historical_BTCUSDT_vol,historical_LUNCUSDT_vol,signal,portfolio_value,BTCUSDT_raw_pnl,LUNCUSDT_raw_pnl,BTCUSDT_cost,LUNCUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
3191.0,2023-01-22 21:34:59.999,1.0,,0.0,0.0,,,22514.125,0.000179055,239.42052,150393514.55,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3192.0,2023-01-22 21:35:59.999,1.0,,0.0,0.0,,,22512.86,0.00017898,307.46332,49487936.27,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3193.0,2023-01-22 21:36:59.999,1.0,,0.0,0.0,,,22498.505,0.00017868,197.53452,82834643.23,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3194.0,2023-01-22 21:37:59.999,1.0,,0.0,0.0,,,22510.075,0.00017879,213.25915,96987663.44,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3195.0,2023-01-22 21:38:59.999,1.0,,0.0,0.0,,,22508.47,0.00017878,181.84539,22520069.69,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3196.0,2023-01-22 21:39:59.999,1.0,,0.0,0.0,,,22515.07,0.00017893,311.82007,116199674.99,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3197.0,2023-01-22 21:40:59.999,1.0,,0.0,0.0,,,22516.79,0.000179135,216.61725,42823449.28,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3198.0,2023-01-22 21:41:59.999,1.0,,0.0,0.0,,,22517.075,0.000179,290.97387,61453684.23,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3199.0,2023-01-22 21:42:59.999,1.0,,0.0,0.0,,,22527.5,0.0001791599999999,167.29104,23649580.37,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3200.0,2023-01-22 21:43:59.999,1.0,,0.0,0.0,,,22533.755,0.00017919,117.56968,18004933.55,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3201.0,2023-01-22 21:44:59.999,1.0,,0.0,0.0,,,22553.64,0.000179435,353.08585,65503115.64,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3202.0,2023-01-22 21:45:59.999,1.0,,0.0,0.0,,,22544.8,0.00017936,192.49638,88055923.78,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3203.0,2023-01-22 21:46:59.999,1.0,,0.0,0.0,,,22544.43,0.00017898,130.16469,11940494.12,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3204.0,2023-01-22 21:47:59.999,1.0,,0.0,0.0,,,22523.97,0.000178795,154.2098,20183989.86,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3205.0,2023-01-22 21:48:59.999,1.0,,0.0,0.0,,,22525.235,0.0001788049999999,166.45865,53075808.69,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3206.0,2023-01-22 21:49:59.999,1.0,,0.0,0.0,,,22539.515,0.000179,97.10511,86943775.1,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3207.0,2023-01-22 21:50:59.999,1.0,,0.0,0.0,,,22539.81,0.00017901,105.12983,100925634.33,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3208.0,2023-01-22 21:51:59.999,1.0,,0.0,0.0,,,22545.49,0.000178945,91.03381,24255942.32,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3209.0,2023-01-22 21:52:59.999,1.0,,0.0,0.0,,,22575.045,0.000179125,583.22212,92470860.21,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3210.0,2023-01-22 21:53:59.999,1.0,,0.0,0.0,,,22617.2,0.000179675,383.31594,57300595.54,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3211.0,2023-01-22 21:54:59.999,1.0,,0.0,0.0,,,22624.18,0.000179765,172.50542,19945418.53,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3212.0,2023-01-22 21:55:59.999,1.0,,0.0,0.0,,,22627.455,0.000179665,205.78001,25068907.2,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3213.0,2023-01-22 21:56:59.999,1.0,,0.0,0.0,,,22612.36,0.00017926,232.16841,64625732.46,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3214.0,2023-01-22 21:57:59.999,1.0,,0.0,0.0,,,22585.75,0.00017899,301.0915,10760994.03,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3215.0,2023-01-22 21:58:59.999,1.0,,0.0,0.0,,,22582.97,0.0001790599999999,210.91906,22433948.55,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3216.0,2023-01-22 21:59:59.999,1.0,,0.0,0.0,,,22592.915,0.00017914,157.43256,14448197.8,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3217.0,2023-01-22 22:00:59.999,1.0,,0.0,0.0,,,22594.615,0.00017924,205.06162,18491799.83,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3218.0,2023-01-22 22:01:59.999,1.0,,0.0,0.0,,,22610.52,0.00017947,149.11558,31353486.38,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
