index,close_time,transaction_id,positions,LUNCUSDT_units,ATOMUSDT_units,entry_LUNCUSDT_price,entry_ATOMUSDT_price,historical_LUNCUSDT_mid,historical_ATOMUSDT_mid,historical_LUNCUSDT_vol,historical_ATOMUSDT_vol,signal,portfolio_value,LUNCUSDT_raw_pnl,ATOMUSDT_raw_pnl,LUNCUSDT_cost,ATOMUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
1182.0,2023-01-21 07:34:59.999,,,0.0,0.0,,,0.000180565,13.297,59481030.55,2082.51,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1183.0,2023-01-21 07:35:59.999,,,0.0,0.0,,,0.000180435,13.29,16235973.91,1178.93,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1184.0,2023-01-21 07:36:59.999,,,0.0,0.0,,,0.00018047,13.289,29609298.43,75.62,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1185.0,2023-01-21 07:37:59.999,,,0.0,0.0,,,0.0001804849999999,13.2925,51273086.96,1015.08,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1186.0,2023-01-21 07:38:59.999,,,0.0,0.0,,,0.00018054,13.302,74121834.1,1082.67,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1187.0,2023-01-21 07:39:59.999,,,0.0,0.0,,,0.00018057,13.306,50150147.94,370.32,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1188.0,2023-01-21 07:40:59.999,,,0.0,0.0,,,0.0001804849999999,13.3045,22713382.41,694.51,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1189.0,2023-01-21 07:41:59.999,,,0.0,0.0,,,0.00018048,13.3005,12795863.6,382.4,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1190.0,2023-01-21 07:42:59.999,,,0.0,0.0,,,0.00018051,13.3095,53024769.33,837.36,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1191.0,2023-01-21 07:43:59.999,,,0.0,0.0,,,0.000180555,13.3175,44436464.53,887.65,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1192.0,2023-01-21 07:44:59.999,,,0.0,0.0,,,0.00018051,13.3225,61907702.92,921.22,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1193.0,2023-01-21 07:45:59.999,,,0.0,0.0,,,0.000180625,13.3245,71272831.92,1300.7,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1194.0,2023-01-21 07:46:59.999,,,0.0,0.0,,,0.0001806849999999,13.3335,56493424.86,3665.19,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1195.0,2023-01-21 07:47:59.999,,,0.0,0.0,,,0.00018083,13.3385,81841286.92,400.52,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
