index,close_time,transaction_id,positions,ETHUSDT_units,MATICUSDT_units,entry_ETHUSDT_price,entry_MATICUSDT_price,historical_ETHUSDT_mid,historical_MATICUSDT_mid,historical_ETHUSDT_vol,historical_MATICUSDT_vol,signal,portfolio_value,ETHUSDT_raw_pnl,MATICUSDT_raw_pnl,ETHUSDT_cost,MATICUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
953.0,2023-01-21 08:36:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1651.615,1.0203,391.3353,20172.6,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
954.0,2023-01-21 08:37:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1652.255,1.0205,69.0029,29530.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
955.0,2023-01-21 08:38:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1652.7800000000002,1.02125,133.9051,28599.2,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
956.0,2023-01-21 08:39:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1652.81,1.02105,51.3209,7172.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
957.0,2023-01-21 08:40:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1652.625,1.02085,160.0163,29629.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
958.0,2023-01-21 08:41:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1652.075,1.02045,180.3497,11942.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
959.0,2023-01-21 08:42:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1652.3,1.0207,137.2392,15341.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
960.0,2023-01-21 08:43:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1653.005,1.02135,151.5459,26472.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
961.0,2023-01-21 08:44:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1652.42,1.0213,392.9483,44682.6,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
962.0,2023-01-21 08:45:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1652.29,1.0213,106.1343,75114.2,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
963.0,2023-01-21 08:46:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1651.865,1.02105,210.0689,46433.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
964.0,2023-01-21 08:47:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1651.48,1.02135,55.6061,19211.2,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
965.0,2023-01-21 08:48:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1651.3200000000002,1.0211,66.8093,29636.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
966.0,2023-01-21 08:49:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1651.685,1.021,626.6819,9233.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
967.0,2023-01-21 08:50:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1651.81,1.0208499999999998,510.699,7483.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
968.0,2023-01-21 08:51:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1651.31,1.0208499999999998,165.7824,8410.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
969.0,2023-01-21 08:52:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1650.53,1.0205,542.4793,80286.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
970.0,2023-01-21 08:53:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1650.315,1.02055,264.6238,31041.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
971.0,2023-01-21 08:54:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1650.69,1.02035,86.1061,11641.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
