index,close_time,transaction_id,positions,NEARUSDT_units,LUNCUSDT_units,entry_NEARUSDT_price,entry_LUNCUSDT_price,historical_NEARUSDT_mid,historical_LUNCUSDT_mid,historical_NEARUSDT_vol,historical_LUNCUSDT_vol,signal,portfolio_value,NEARUSDT_raw_pnl,LUNCUSDT_raw_pnl,NEARUSDT_cost,LUNCUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
1249.0,2023-01-21 11:00:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.355,0.000177515,9731.7,41048665.66,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1250.0,2023-01-21 11:01:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.358,0.000177465,23618.0,108445116.8,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1251.0,2023-01-21 11:02:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3625,0.00017793,23518.7,113266565.76,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1252.0,2023-01-21 11:03:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.365,0.000178105,11589.8,58683108.21,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1253.0,2023-01-21 11:04:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.359,0.000177915,21347.1,191854429.97,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1254.0,2023-01-21 11:05:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3545,0.000177915,10260.9,62213966.86,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1255.0,2023-01-21 11:06:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3595,0.000178005,15464.6,15198554.61,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1256.0,2023-01-21 11:07:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3555,0.00017808,95456.6,99929170.48,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1257.0,2023-01-21 11:08:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3495,0.0001779549999999,10156.8,16629251.16,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1258.0,2023-01-21 11:09:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.348,0.000177885,13603.6,18187068.6,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1259.0,2023-01-21 11:10:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3435,0.00017776,42064.0,50773719.53,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1260.0,2023-01-21 11:11:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3365,0.000177495,39063.3,237998546.55,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1261.0,2023-01-21 11:12:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3315,0.00017709,74091.8,150003042.12,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1262.0,2023-01-21 11:13:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3365,0.000177105,10960.4,104516530.11,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1263.0,2023-01-21 11:14:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3335,0.0001768,17049.3,90779013.4,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1264.0,2023-01-21 11:15:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3375000000000004,0.0001770799999999,12770.5,111480533.38,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1265.0,2023-01-21 11:16:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3335,0.000177045,23146.1,36708192.36,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1266.0,2023-01-21 11:17:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3355,0.0001769599999999,20566.6,91965536.61,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1267.0,2023-01-21 11:18:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3335,0.000176875,22207.9,57932436.33,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1268.0,2023-01-21 11:19:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.332,0.00017688,19325.8,96054214.23,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1269.0,2023-01-21 11:20:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3335,0.00017699,20842.6,31956711.97,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1270.0,2023-01-21 11:21:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.334,0.00017693,11440.1,47456890.6,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1271.0,2023-01-21 11:22:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3365,0.00017698,6082.7,34134405.36,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1272.0,2023-01-21 11:23:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3395,0.000177245,7341.0,56029812.4,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1273.0,2023-01-21 11:24:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.34,0.000177415,6031.6,44668127.35,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1274.0,2023-01-21 11:25:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.343,0.000177295,9517.0,75497747.52,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1275.0,2023-01-21 11:26:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3415,0.000177255,17630.8,32765840.19,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1276.0,2023-01-21 11:27:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3455,0.000177505,17562.3,49265503.82,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1277.0,2023-01-21 11:28:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3485,0.000177675,12721.8,45977300.99,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1278.0,2023-01-21 11:29:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.35,0.000177605,29446.2,46980769.28,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1279.0,2023-01-21 11:30:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.348,0.0001776449999999,7031.8,186018371.74,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1280.0,2023-01-21 11:31:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3545,0.000177905,17670.3,164700686.23,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1281.0,2023-01-21 11:32:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3585000000000003,0.000177915,30640.8,192379687.89,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1282.0,2023-01-21 11:33:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.361,0.000177975,8309.3,73595634.44,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1283.0,2023-01-21 11:34:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3615,0.000178,19508.5,97162175.62,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1284.0,2023-01-21 11:35:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3605,0.0001780199999999,23252.0,171315082.9,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1285.0,2023-01-21 11:36:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3600000000000003,0.0001780199999999,9636.2,73241773.58,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
