index,close_time,transaction_id,positions,SANDUSDT_units,DOTUSDT_units,entry_SANDUSDT_price,entry_DOTUSDT_price,historical_SANDUSDT_mid,historical_DOTUSDT_mid,historical_SANDUSDT_vol,historical_DOTUSDT_vol,signal,portfolio_value,SANDUSDT_raw_pnl,DOTUSDT_raw_pnl,SANDUSDT_cost,DOTUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
2639.0,2023-01-22 11:07:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.8020499999999999,6.295,5665.0,1960.17,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2640.0,2023-01-22 11:08:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.8021,6.2955000000000005,10645.0,1793.54,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2641.0,2023-01-22 11:09:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.8018000000000001,6.289,10602.0,2252.56,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2642.0,2023-01-22 11:10:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.80145,6.2875,8280.0,3524.48,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2643.0,2023-01-22 11:11:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.80065,6.284,16878.0,2375.23,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2644.0,2023-01-22 11:12:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.8027,6.2935,42122.0,22315.82,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2645.0,2023-01-22 11:13:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.8031,6.298,14137.0,6091.27,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2646.0,2023-01-22 11:14:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.8026500000000001,6.303,5816.0,3829.62,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2647.0,2023-01-22 11:15:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.8026500000000001,6.301,14525.0,3756.4,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2648.0,2023-01-22 11:16:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.802,6.299,18834.0,1559.16,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2649.0,2023-01-22 11:17:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.8,6.289,30299.0,3093.94,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2650.0,2023-01-22 11:18:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.798,6.276,94821.0,6465.54,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2651.0,2023-01-22 11:19:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.79765,6.27,26850.0,15032.27,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2652.0,2023-01-22 11:20:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.79745,6.2725,20453.0,7624.23,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2653.0,2023-01-22 11:21:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.7992,6.276,28598.0,2263.06,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2654.0,2023-01-22 11:22:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.7995,6.274,18991.0,3545.74,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2655.0,2023-01-22 11:23:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.7995,6.272,17452.0,1393.25,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2656.0,2023-01-22 11:24:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.79915,6.27,18405.0,3758.18,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2657.0,2023-01-22 11:25:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.79855,6.271000000000001,32779.0,3611.08,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2658.0,2023-01-22 11:26:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.7986500000000001,6.2695,28155.0,8295.78,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2659.0,2023-01-22 11:27:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.79895,6.274,15805.0,4144.45,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2660.0,2023-01-22 11:28:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.7976,6.265000000000001,57079.0,1363.75,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2661.0,2023-01-22 11:29:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.79625,6.256,64384.0,13121.92,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2662.0,2023-01-22 11:30:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.7959499999999999,6.2615,20411.0,943.91,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2663.0,2023-01-22 11:31:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.7958000000000001,6.256,42728.0,5116.85,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2664.0,2023-01-22 11:32:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.7976000000000001,6.2675,21858.0,1146.62,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2665.0,2023-01-22 11:33:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.79755,6.272,13432.0,1116.95,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2666.0,2023-01-22 11:34:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.79705,6.271,12891.0,1153.5,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2667.0,2023-01-22 11:35:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.79795,6.2745,13985.0,172.35,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2668.0,2023-01-22 11:36:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.7987500000000001,6.275,11003.0,435.19,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2669.0,2023-01-22 11:37:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.7978000000000001,6.2755,35615.0,1735.94,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
