index,close_time,transaction_id,positions,XRPUSDT_units,SANDUSDT_units,entry_XRPUSDT_price,entry_SANDUSDT_price,historical_XRPUSDT_mid,historical_SANDUSDT_mid,historical_XRPUSDT_vol,historical_SANDUSDT_vol,signal,portfolio_value,XRPUSDT_raw_pnl,SANDUSDT_raw_pnl,XRPUSDT_cost,SANDUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
2746.0,2023-01-22 14:44:59.999,3.0,,0.0,0.0,,,0.40585,0.8452,41163.0,348415.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2747.0,2023-01-22 14:45:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.40595,0.8435999999999999,185041.0,200983.0,2.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0008828981700961247
2748.0,2023-01-22 14:46:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.40605,0.83905,78515.0,119583.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2749.0,2023-01-22 14:47:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.406,0.8376,140891.0,130608.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2750.0,2023-01-22 14:48:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.406,0.83795,111624.0,61300.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2751.0,2023-01-22 14:49:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.406,0.8388,77036.0,91201.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2752.0,2023-01-22 14:50:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.4059,0.83865,68210.0,53699.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2753.0,2023-01-22 14:51:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.40635,0.8420000000000001,74231.0,98213.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2754.0,2023-01-22 14:52:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.4065499999999999,0.8479,70036.0,127899.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2755.0,2023-01-22 14:53:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.40705,0.84795,266022.0,236459.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2756.0,2023-01-22 14:54:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.40735,0.84505,255829.0,282590.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2757.0,2023-01-22 14:55:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.40735,0.84345,150007.0,62644.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2758.0,2023-01-22 14:56:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.4073,0.8405499999999999,103022.0,71119.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2759.0,2023-01-22 14:57:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.4078,0.8408500000000001,554739.0,76477.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2760.0,2023-01-22 14:58:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.4076499999999999,0.8398,251471.0,44619.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2761.0,2023-01-22 14:59:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.4079,0.83995,143015.0,55154.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2762.0,2023-01-22 15:00:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.40795,0.83935,285322.0,57094.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2763.0,2023-01-22 15:01:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.40785,0.8392999999999999,204821.0,46164.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2764.0,2023-01-22 15:02:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.40805,0.84055,232761.0,64072.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
