index,close_time,transaction_id,positions,SANDUSDT_units,JASMYUSDT_units,entry_SANDUSDT_price,entry_JASMYUSDT_price,historical_SANDUSDT_mid,historical_JASMYUSDT_mid,historical_SANDUSDT_vol,historical_JASMYUSDT_vol,signal,portfolio_value,SANDUSDT_raw_pnl,JASMYUSDT_raw_pnl,SANDUSDT_cost,JASMYUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
612.0,2023-01-21 01:20:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.7989999999999999,0.00514,11430.0,751748.3,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
613.0,2023-01-21 01:21:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.79895,0.0051465,23086.0,2099675.3,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
614.0,2023-01-21 01:22:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.80055,0.0051485,35648.0,1944808.8,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
615.0,2023-01-21 01:23:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.806,0.005156,453768.0,4203773.8,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
616.0,2023-01-21 01:24:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.80455,0.0051635,66176.0,3237415.3,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
617.0,2023-01-21 01:25:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.8056000000000001,0.005168,21394.0,1681648.1,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
618.0,2023-01-21 01:26:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.8047,0.005169,69527.0,712866.2,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
619.0,2023-01-21 01:27:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.8030999999999999,0.005169,18012.0,1951422.9,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
620.0,2023-01-21 01:28:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.80095,0.0051575,40479.0,2087114.0,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
621.0,2023-01-21 01:29:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.80125,0.0051575,5429.0,842209.2,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
622.0,2023-01-21 01:30:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.80025,0.005153,15290.0,939282.3,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
623.0,2023-01-21 01:31:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.8,0.0051475,35949.0,277155.4,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
624.0,2023-01-21 01:32:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.8034,0.005159,46750.0,729094.5,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
625.0,2023-01-21 01:33:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.8053,0.0051645,62790.0,2303346.3,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
626.0,2023-01-21 01:34:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.80515,0.0051664999999999,23504.0,1125821.6,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
627.0,2023-01-21 01:35:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.80445,0.0051625,44534.0,2032450.3,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
628.0,2023-01-21 01:36:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.8029999999999999,0.0051545,18467.0,1892484.1,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
629.0,2023-01-21 01:37:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.8021,0.0051515,33688.0,1011387.8,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
630.0,2023-01-21 01:38:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.8024,0.0051545,12169.0,3438260.5,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
631.0,2023-01-21 01:39:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.8046,0.0051734999999999,71593.0,3381344.0,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
632.0,2023-01-21 01:40:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.8036,0.0051649999999999,20561.0,892241.6,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
633.0,2023-01-21 01:41:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.80305,0.005163,20462.0,486549.5,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
634.0,2023-01-21 01:42:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.8039000000000001,0.0051585,12077.0,6769869.1,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
635.0,2023-01-21 01:43:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.8049,0.0051545,27592.0,274094.5,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
636.0,2023-01-21 01:44:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.8039000000000001,0.0051485,18002.0,1142477.5,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
637.0,2023-01-21 01:45:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.8032,0.005147,30642.0,754020.0,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
638.0,2023-01-21 01:46:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.8037000000000001,0.0051485,31464.0,936818.9,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
