coin1,coin2,in_sample_correlation,in_sample_correlation_pvalue,in_sample_residuals_adf_p_value,in_sample_alpha,in_sample_beta,in_sample_half_file,in_sample_hurst,in_sample_coin1_lookback,in_sample_coin2_lookback,out_of_sample_correlation,out_of_sample_correlation_p_value,out_of_sample_spread_adf_p_value,out_of_sample_mean,out_of_sample_std,out_of_sample_half_file,out_of_sample_hurst
ADAUSDT,APEUSDT,0.9700743045786067,0.0,0.029078864347548646,-2.8999268366600965,1.1354829906997599,916.0,0.4334886819737387,2448,2362,0.948362535520752,0.0,0.270129335525527,0.00525418273942992,0.04135545782992945,792.0,0.5136308152031698
ADAUSDT,LUNCUSDT,0.9069897284136108,0.0,0.006078144207294126,14.631335544223148,1.8158701142086247,976.0,0.46005876909930343,2448,2152,0.911301411623846,0.0,0.029749061016167856,0.034835366306877634,0.03508649474156096,315.0,0.4831088523583436
LDOUSDT,APEUSDT,0.9606341001150579,0.0,0.00449088899062614,-2.7098323606981656,2.1515267917483625,598.0,0.43644289399207187,2312,2362,0.8610186385547555,0.0,0.4494139655938483,-0.04522788669131804,0.10589411634979129,1176.0,0.54317269455215
LDOUSDT,LINKUSDT,0.9033788800604929,0.0,0.03908959153418216,-5.0658625366297105,3.0811616736928302,1249.0,0.45329750080020775,2312,2438,0.9300464649237736,0.0,0.22499247477701584,-0.04283908235389692,0.05379634724308858,530.0,0.44830572459036605
LDOUSDT,LUNCUSDT,0.8721349741569937,0.0,0.010302559810337996,29.639384865840864,3.3410212874646374,965.0,0.43787549951779137,2312,2152,0.824552894024783,0.0,0.0914315901886179,0.01778664517305736,0.08618660495669485,451.0,0.49798701254094097
LDOUSDT,ATOMUSDT,0.9344824784946317,0.0,0.04129666208381706,-4.976393401863499,2.284152487332817,1094.0,0.45479212708336575,2312,2449,0.9226188436371691,0.0,0.16986628763704903,-0.053406491885908215,0.051895734020324706,522.0,0.48293965131373345
LDOUSDT,EURUSDT,0.6930623647532856,0.0,0.020308173566601626,-0.7848929777115883,18.65462382481375,1890.0,0.48525822725589984,2312,2404,0.8008665113139137,0.0,0.3551475589323218,0.05211703195875145,0.05503007046657912,831.0,0.49666892141334484
NEARUSDT,FILUSDT,0.9638342068145935,0.0,0.03897184554862178,-1.0501119106645362,1.2048996121178528,1345.0,0.4873560820503126,2291,2334,0.9431064038159142,0.0,0.6403670755365292,-0.01694979841097679,0.03726438565315023,1589.0,0.5018308353885647
NEARUSDT,DOTUSDT,0.973477684127408,0.0,0.02070608449180442,-2.07620219087505,1.6110814246227259,1173.0,0.41717247612566316,2291,2337,0.9753399210851819,0.0,0.02536212290233785,-0.014001740522480457,0.017734418372073266,250.0,0.49792778765318996
NEARUSDT,LUNCUSDT,0.892486921321203,0.0,0.01592158141426204,22.9038389116087,2.5666681361859514,1161.0,0.4524161932309983,2291,2152,0.9126794846651555,0.0,0.03649506880219416,0.0992382440849587,0.049653234818508446,334.0,0.48374663694135633
NEARUSDT,JASMYUSDT,0.9496220164488106,0.0,0.017424605104357397,6.752256805451212,1.1285240688252411,1414.0,0.4618920924531657,2291,2161,0.9699084246311901,0.0,0.005821124813321935,0.05202212570438682,0.018892884039349363,232.0,0.47871771145435504
SANDUSDT,FILUSDT,0.9822678559528928,0.0,0.0053816578035210715,-2.519596540891855,1.4175795562437374,891.0,0.5159434180748312,2348,2334,0.9267158800415487,0.0,0.6814647143533181,0.026704895985552115,0.05668566797198082,2418.0,0.5162238135913126
SANDUSDT,DOTUSDT,0.9788356519731991,0.0,0.01058047259601358,-3.68583800728637,1.8701233351734212,1159.0,0.4797661663756024,2348,2337,0.9694806630739419,0.0,0.005071047662175177,0.03477278848410285,0.01859030405581543,211.0,0.4730435030468862
SANDUSDT,LUNCUSDT,0.9125077401442601,0.0,0.015865074401442216,25.74795616861922,3.0295170112282186,1135.0,0.45999461879894676,2348,2152,0.8688411532716087,0.0,0.05619087306764478,0.16271719032419382,0.07399687553183454,450.0,0.4977123350522469
SANDUSDT,JASMYUSDT,0.9629482527361529,0.0,0.004931443332815047,6.623404810232858,1.321088708376491,1176.0,0.4677171093727544,2348,2161,0.977519114326215,0.0,0.00355083054224358,0.10918254394802661,0.016867237178070052,198.0,0.4540713025902508
APEUSDT,LUNCUSDT,0.9133602182706316,0.0,0.0006401940827036278,15.1172696067698,1.5622440247536362,714.0,0.4408133152715645,2362,2152,0.9049220864162024,0.0,0.06692981794475578,0.028632958310172728,0.03316516612904859,364.0,0.4888100411725632
APEUSDT,ATOMUSDT,0.9595605027721501,0.0,0.01889767238649317,-1.0187957251229647,1.0472190515845452,952.0,0.46063042899338147,2362,2449,0.9048369040167693,0.0,0.36427263858782377,-0.0018783295334373839,0.03702320152992393,951.0,0.5201777492650198
APEUSDT,EURUSDT,0.7499769878728153,0.0,0.03757653359067948,0.8708230769312724,9.013082742238899,1843.0,0.4838560171396775,2362,2404,0.8517012068988613,0.0,0.543185485792921,0.04158903236073964,0.06340528411632515,1527.0,0.5012733414449028
