index,close_time,transaction_id,positions,ETHUSDT_units,XRPUSDT_units,entry_ETHUSDT_price,entry_XRPUSDT_price,historical_ETHUSDT_mid,historical_XRPUSDT_mid,historical_ETHUSDT_vol,historical_XRPUSDT_vol,signal,portfolio_value,ETHUSDT_raw_pnl,XRPUSDT_raw_pnl,ETHUSDT_cost,XRPUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
2865.0,2023-01-22 16:28:59.999,2.0,,0.0,0.0,,,1637.86,0.4078,199.6397,345440.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2866.0,2023-01-22 16:29:59.999,2.0,,0.0,0.0,,,1637.895,0.40795,133.3438,63186.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2867.0,2023-01-22 16:30:59.999,2.0,,0.0,0.0,,,1638.23,0.4077499999999999,113.1767,211899.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2868.0,2023-01-22 16:31:59.999,2.0,,0.0,0.0,,,1637.82,0.4072,162.3111,169365.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2869.0,2023-01-22 16:32:59.999,2.0,,0.0,0.0,,,1637.905,0.4069,90.8213,90367.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2870.0,2023-01-22 16:33:59.999,2.0,,0.0,0.0,,,1638.41,0.40715,47.5647,165612.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2871.0,2023-01-22 16:34:59.999,2.0,,0.0,0.0,,,1637.605,0.407,147.8275,86062.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2872.0,2023-01-22 16:35:59.999,2.0,,0.0,0.0,,,1637.935,0.4072,62.1969,87054.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2873.0,2023-01-22 16:36:59.999,2.0,,0.0,0.0,,,1637.77,0.40705,48.537,65140.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2874.0,2023-01-22 16:37:59.999,2.0,,0.0,0.0,,,1636.94,0.4066999999999999,73.4011,235583.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2875.0,2023-01-22 16:38:59.999,2.0,,0.0,0.0,,,1637.025,0.4065,460.1673,136660.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2876.0,2023-01-22 16:39:59.999,2.0,,0.0,0.0,,,1637.6,0.4065999999999999,114.9925,31712.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2877.0,2023-01-22 16:40:59.999,2.0,,0.0,0.0,,,1637.5949999999998,0.40635,75.9189,1027373.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2878.0,2023-01-22 16:41:59.999,2.0,,0.0,0.0,,,1637.5,0.40615,198.5494,145299.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2879.0,2023-01-22 16:42:59.999,2.0,,0.0,0.0,,,1638.145,0.40635,317.7542,60641.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2880.0,2023-01-22 16:43:59.999,2.0,,0.0,0.0,,,1638.65,0.4065999999999999,115.5756,97987.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2881.0,2023-01-22 16:44:59.999,2.0,,0.0,0.0,,,1638.63,0.40685,61.0069,39236.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2882.0,2023-01-22 16:45:59.999,2.0,,0.0,0.0,,,1638.73,0.40685,111.3924,107357.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2883.0,2023-01-22 16:46:59.999,2.0,,0.0,0.0,,,1639.26,0.40725,97.7477,266162.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
