index,close_time,transaction_id,positions,LTCUSDT_units,LUNCUSDT_units,entry_LTCUSDT_price,entry_LUNCUSDT_price,historical_LTCUSDT_mid,historical_LUNCUSDT_mid,historical_LTCUSDT_vol,historical_LUNCUSDT_vol,signal,portfolio_value,LTCUSDT_raw_pnl,LUNCUSDT_raw_pnl,LTCUSDT_cost,LUNCUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
2018.0,2023-01-22 00:11:59.999,1.0,,0.0,0.0,,,88.365,0.00018068,617.595,40409775.95,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2019.0,2023-01-22 00:12:59.999,1.0,,0.0,0.0,,,88.405,0.00018111,298.231,43135294.61,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2020.0,2023-01-22 00:13:59.999,1.0,,0.0,0.0,,,88.41499999999999,0.00018111,767.913,94585585.58,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2021.0,2023-01-22 00:14:59.999,1.0,,0.0,0.0,,,88.365,0.00018148,1472.517,283910215.66,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2022.0,2023-01-22 00:15:59.999,1.0,,0.0,0.0,,,88.315,0.000181485,490.963,112058318.35,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2023.0,2023-01-22 00:16:59.999,1.0,,0.0,0.0,,,88.39,0.00018152,88.763,71336543.75,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2024.0,2023-01-22 00:17:59.999,1.0,,0.0,0.0,,,88.25,0.00018132,684.721,91604964.26,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2025.0,2023-01-22 00:18:59.999,1.0,,0.0,0.0,,,88.18,0.000181085,459.866,82050198.61,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2026.0,2023-01-22 00:19:59.999,1.0,,0.0,0.0,,,88.265,0.00018118,281.237,42632397.77,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2027.0,2023-01-22 00:20:59.999,1.0,,0.0,0.0,,,88.27000000000001,0.0001813049999999,311.336,18194986.27,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2028.0,2023-01-22 00:21:59.999,1.0,,0.0,0.0,,,88.325,0.000181365,1160.818,23138667.63,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
