index,close_time,transaction_id,positions,XRPUSDT_units,LTCUSDT_units,entry_XRPUSDT_price,entry_LTCUSDT_price,historical_XRPUSDT_mid,historical_LTCUSDT_mid,historical_XRPUSDT_vol,historical_LTCUSDT_vol,signal,portfolio_value,XRPUSDT_raw_pnl,LTCUSDT_raw_pnl,XRPUSDT_cost,LTCUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
2872.0,2023-01-22 16:50:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4075,89.16,300200.0,397.325,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2873.0,2023-01-22 16:51:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.40705,89.1,195607.0,313.316,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2874.0,2023-01-22 16:52:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4073,89.27000000000001,94773.0,893.008,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2875.0,2023-01-22 16:53:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4075999999999999,89.39,381269.0,1575.555,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2876.0,2023-01-22 16:54:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4077499999999999,89.41,275177.0,239.25,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2877.0,2023-01-22 16:55:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4075499999999999,89.315,201747.0,994.017,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2878.0,2023-01-22 16:56:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.40715,89.18,144017.0,174.56,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2879.0,2023-01-22 16:57:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4073,89.11000000000001,399398.0,204.987,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2880.0,2023-01-22 16:58:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4076499999999999,89.19,223498.0,365.709,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2881.0,2023-01-22 16:59:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4074,89.08,196491.0,667.912,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2882.0,2023-01-22 17:00:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4076499999999999,89.06,30604.0,549.205,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2883.0,2023-01-22 17:01:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4076499999999999,89.08,330170.0,476.778,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2884.0,2023-01-22 17:02:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.40735,88.935,137945.0,195.623,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2885.0,2023-01-22 17:03:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4069,88.9,698846.0,403.465,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2886.0,2023-01-22 17:04:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.40715,88.97999999999999,189106.0,250.901,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2887.0,2023-01-22 17:05:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4076999999999999,89.15,125200.0,233.832,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2888.0,2023-01-22 17:06:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.40795,89.22,645309.0,230.887,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2889.0,2023-01-22 17:07:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4083,89.195,266841.0,76.834,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2890.0,2023-01-22 17:08:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4085499999999999,89.225,366658.0,170.542,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2891.0,2023-01-22 17:09:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4085999999999999,89.14,157069.0,75.464,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2892.0,2023-01-22 17:10:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4086999999999999,89.13,206953.0,76.662,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2893.0,2023-01-22 17:11:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4085499999999999,89.125,314047.0,87.975,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2894.0,2023-01-22 17:12:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4086999999999999,89.12,662604.0,155.012,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2895.0,2023-01-22 17:13:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4087,89.16,151639.0,159.552,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2896.0,2023-01-22 17:14:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4087499999999999,89.11,154162.0,487.082,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2897.0,2023-01-22 17:15:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4085999999999999,89.16,503042.0,92.673,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2898.0,2023-01-22 17:16:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.40815,89.11,395867.0,52.758,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2899.0,2023-01-22 17:17:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4083,89.1,92834.0,170.777,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2900.0,2023-01-22 17:18:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4085,89.16,212956.0,122.867,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2901.0,2023-01-22 17:19:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4088,89.24000000000001,190171.0,131.246,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2902.0,2023-01-22 17:20:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.40925,89.28,890593.0,152.112,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2903.0,2023-01-22 17:21:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.40935,89.225,482089.0,663.067,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2904.0,2023-01-22 17:22:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4096999999999999,89.22,644064.0,270.116,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2905.0,2023-01-22 17:23:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4103,89.32,690146.0,130.446,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2906.0,2023-01-22 17:24:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4111,89.39,601706.0,319.304,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
