index,close_time,transaction_id,positions,NEARUSDT_units,DOTUSDT_units,entry_NEARUSDT_price,entry_DOTUSDT_price,historical_NEARUSDT_mid,historical_DOTUSDT_mid,historical_NEARUSDT_vol,historical_DOTUSDT_vol,signal,portfolio_value,NEARUSDT_raw_pnl,DOTUSDT_raw_pnl,NEARUSDT_cost,DOTUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
966.0,2023-01-21 06:17:59.999,,,0.0,0.0,,,2.3555,6.213,4347.9,2095.38,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
967.0,2023-01-21 06:18:59.999,,,0.0,0.0,,,2.355,6.2165,5711.7,145.48,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
968.0,2023-01-21 06:19:59.999,,,0.0,0.0,,,2.355,6.2175,1674.4,1788.34,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
969.0,2023-01-21 06:20:59.999,,,0.0,0.0,,,2.355,6.218,2369.4,828.81,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
970.0,2023-01-21 06:21:59.999,,,0.0,0.0,,,2.3555,6.2155000000000005,6158.4,2716.29,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
971.0,2023-01-21 06:22:59.999,,,0.0,0.0,,,2.355,6.214,2365.4,515.25,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
972.0,2023-01-21 06:23:59.999,,,0.0,0.0,,,2.357,6.2155000000000005,5434.2,1019.57,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
973.0,2023-01-21 06:24:59.999,,,0.0,0.0,,,2.3585000000000003,6.2175,4106.0,534.86,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
974.0,2023-01-21 06:25:59.999,,,0.0,0.0,,,2.3565,6.219,3340.5,4220.12,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
975.0,2023-01-21 06:26:59.999,,,0.0,0.0,,,2.3600000000000003,6.223,6400.6,1132.55,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
976.0,2023-01-21 06:27:59.999,,,0.0,0.0,,,2.3595,6.227,4845.9,493.19,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
977.0,2023-01-21 06:28:59.999,,,0.0,0.0,,,2.365,6.2285,23122.6,868.68,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
978.0,2023-01-21 06:29:59.999,,,0.0,0.0,,,2.3645,6.2255,5553.8,1042.6,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
979.0,2023-01-21 06:30:59.999,,,0.0,0.0,,,2.361,6.225,9891.3,895.83,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
980.0,2023-01-21 06:31:59.999,,,0.0,0.0,,,2.3585000000000003,6.221500000000001,12048.6,1033.12,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
981.0,2023-01-21 06:32:59.999,,,0.0,0.0,,,2.363,6.2245,8331.3,4618.26,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
982.0,2023-01-21 06:33:59.999,,,0.0,0.0,,,2.3685,6.2285,13904.9,1663.46,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
