index,close_time,transaction_id,positions,LTCUSDT_units,ATOMUSDT_units,entry_LTCUSDT_price,entry_ATOMUSDT_price,historical_LTCUSDT_mid,historical_ATOMUSDT_mid,historical_LTCUSDT_vol,historical_ATOMUSDT_vol,signal,portfolio_value,LTCUSDT_raw_pnl,ATOMUSDT_raw_pnl,LTCUSDT_cost,ATOMUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
1098.0,2023-01-21 08:51:59.999,,,0.0,0.0,,,90.12,13.2855,49.737,974.28,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1099.0,2023-01-21 08:52:59.999,,,0.0,0.0,,,90.08,13.284,238.499,116.73,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1100.0,2023-01-21 08:53:59.999,,,0.0,0.0,,,90.08,13.2925,99.361,570.76,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1101.0,2023-01-21 08:54:59.999,,,0.0,0.0,,,90.105,13.3055,100.58,470.48,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1102.0,2023-01-21 08:55:59.999,,,0.0,0.0,,,90.09,13.31,141.435,225.98,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1103.0,2023-01-21 08:56:59.999,,,0.0,0.0,,,90.105,13.303,340.797,319.71,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1104.0,2023-01-21 08:57:59.999,,,0.0,0.0,,,90.005,13.2875,545.498,2868.5,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1105.0,2023-01-21 08:58:59.999,,,0.0,0.0,,,89.945,13.253,716.372,7708.86,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1106.0,2023-01-21 08:59:59.999,,,0.0,0.0,,,89.95,13.231,444.312,610.98,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1107.0,2023-01-21 09:00:59.999,,,0.0,0.0,,,89.9,13.234000000000002,970.398,740.1,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1108.0,2023-01-21 09:01:59.999,,,0.0,0.0,,,89.74,13.198,818.341,8471.38,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1109.0,2023-01-21 09:02:59.999,,,0.0,0.0,,,89.73500000000001,13.213,170.26,3880.3,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1110.0,2023-01-21 09:03:59.999,,,0.0,0.0,,,89.8,13.2325,332.046,866.21,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1111.0,2023-01-21 09:04:59.999,,,0.0,0.0,,,89.88,13.2485,118.685,398.07,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1112.0,2023-01-21 09:05:59.999,,,0.0,0.0,,,89.88499999999999,13.243,56.697,775.21,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1113.0,2023-01-21 09:06:59.999,,,0.0,0.0,,,89.87,13.2365,42.803,328.28,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1114.0,2023-01-21 09:07:59.999,,,0.0,0.0,,,89.9,13.25,447.516,1046.99,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1115.0,2023-01-21 09:08:59.999,,,0.0,0.0,,,89.91499999999999,13.2605,187.598,1816.45,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1116.0,2023-01-21 09:09:59.999,,,0.0,0.0,,,89.88,13.266,101.243,91.19,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1117.0,2023-01-21 09:10:59.999,,,0.0,0.0,,,89.85499999999999,13.267,380.292,1384.66,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1118.0,2023-01-21 09:11:59.999,,,0.0,0.0,,,89.88,13.255,583.725,1339.38,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1119.0,2023-01-21 09:12:59.999,,,0.0,0.0,,,89.965,13.261,112.128,99.5,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1120.0,2023-01-21 09:13:59.999,,,0.0,0.0,,,89.955,13.2625,135.287,444.77,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1121.0,2023-01-21 09:14:59.999,,,0.0,0.0,,,89.91999999999999,13.263,116.82,106.23,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1122.0,2023-01-21 09:15:59.999,,,0.0,0.0,,,89.92,13.2625,66.875,416.41,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1123.0,2023-01-21 09:16:59.999,,,0.0,0.0,,,89.87,13.2635,252.86,289.49,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1124.0,2023-01-21 09:17:59.999,,,0.0,0.0,,,89.86,13.2595,434.582,1019.36,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1125.0,2023-01-21 09:18:59.999,,,0.0,0.0,,,89.86,13.2645,92.657,661.45,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1126.0,2023-01-21 09:19:59.999,,,0.0,0.0,,,89.875,13.263,149.612,1680.66,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1127.0,2023-01-21 09:20:59.999,,,0.0,0.0,,,89.87,13.261,1004.095,335.63,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1128.0,2023-01-21 09:21:59.999,,,0.0,0.0,,,89.855,13.2605,739.784,542.72,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
