index,close_time,transaction_id,positions,NEARUSDT_units,JASMYUSDT_units,entry_NEARUSDT_price,entry_JASMYUSDT_price,historical_NEARUSDT_mid,historical_JASMYUSDT_mid,historical_NEARUSDT_vol,historical_JASMYUSDT_vol,signal,portfolio_value,NEARUSDT_raw_pnl,JASMYUSDT_raw_pnl,NEARUSDT_cost,JASMYUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
1678.0,2023-01-21 18:09:59.999,,,0.0,0.0,,,2.3795,0.005155,13456.1,957520.6,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1679.0,2023-01-21 18:10:59.999,,,0.0,0.0,,,2.382,0.0051565,10258.1,651709.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1680.0,2023-01-21 18:11:59.999,,,0.0,0.0,,,2.3925,0.005167,9157.8,857960.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1681.0,2023-01-21 18:12:59.999,,,0.0,0.0,,,2.388,0.0051629999999999,4997.5,296075.2,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1682.0,2023-01-21 18:13:59.999,,,0.0,0.0,,,2.3895,0.0051705,15041.4,1455165.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1683.0,2023-01-21 18:14:59.999,,,0.0,0.0,,,2.3955,0.0051769999999999,41932.2,426070.2,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1684.0,2023-01-21 18:15:59.999,,,0.0,0.0,,,2.3955,0.0051785,2883.6,1073716.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1685.0,2023-01-21 18:16:59.999,,,0.0,0.0,,,2.39,0.005169,11964.5,1564699.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1686.0,2023-01-21 18:17:59.999,,,0.0,0.0,,,2.391,0.005164,2539.3,2141123.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1687.0,2023-01-21 18:18:59.999,,,0.0,0.0,,,2.389,0.0051675,4024.1,240705.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1688.0,2023-01-21 18:19:59.999,,,0.0,0.0,,,2.3885,0.0051684999999999,1786.6,307524.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1689.0,2023-01-21 18:20:59.999,,,0.0,0.0,,,2.388,0.0051754999999999,640.5,668050.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1690.0,2023-01-21 18:21:59.999,,,0.0,0.0,,,2.388,0.0051745,296.2,273392.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1691.0,2023-01-21 18:22:59.999,,,0.0,0.0,,,2.3885,0.005175,428.5,399512.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1692.0,2023-01-21 18:23:59.999,,,0.0,0.0,,,2.388,0.005175,1984.8,436589.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1693.0,2023-01-21 18:24:59.999,,,0.0,0.0,,,2.3875,0.0051785,2534.8,492159.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1694.0,2023-01-21 18:25:59.999,,,0.0,0.0,,,2.3905,0.0051874999999999,3956.7,1028370.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1695.0,2023-01-21 18:26:59.999,,,0.0,0.0,,,2.389,0.005191,2658.0,1696229.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1696.0,2023-01-21 18:27:59.999,,,0.0,0.0,,,2.389,0.0051955,693.4,407067.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1697.0,2023-01-21 18:28:59.999,,,0.0,0.0,,,2.387,0.005195,413.3,719178.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1698.0,2023-01-21 18:29:59.999,,,0.0,0.0,,,2.3855,0.0051995,2553.9,3666775.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1699.0,2023-01-21 18:30:59.999,,,0.0,0.0,,,2.3865,0.005195,911.2,3960249.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1700.0,2023-01-21 18:31:59.999,,,0.0,0.0,,,2.3915,0.0051905,4478.2,914127.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1701.0,2023-01-21 18:32:59.999,,,0.0,0.0,,,2.3975,0.0051839999999999,14938.0,1326667.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1702.0,2023-01-21 18:33:59.999,,,0.0,0.0,,,2.402,0.0051909999999999,18664.4,125652.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1703.0,2023-01-21 18:34:59.999,,,0.0,0.0,,,2.398,0.0051979999999999,7798.0,249174.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1704.0,2023-01-21 18:35:59.999,,,0.0,0.0,,,2.3995,0.0051925,3047.6,124840.2,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1705.0,2023-01-21 18:36:59.999,,,0.0,0.0,,,2.398,0.0051959999999999,1286.0,430634.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1706.0,2023-01-21 18:37:59.999,,,0.0,0.0,,,2.395,0.005197,39742.5,192405.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1707.0,2023-01-21 18:38:59.999,,,0.0,0.0,,,2.393,0.005195,3361.3,1946085.6,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1708.0,2023-01-21 18:39:59.999,,,0.0,0.0,,,2.3935,0.0052,907.7,4517.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1709.0,2023-01-21 18:40:59.999,,,0.0,0.0,,,2.394,0.0051965,737.4,412478.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1710.0,2023-01-21 18:41:59.999,,,0.0,0.0,,,2.395,0.0052055,1073.0,1359637.6,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1711.0,2023-01-21 18:42:59.999,,,0.0,0.0,,,2.3945,0.005206,178.1,198546.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1712.0,2023-01-21 18:43:59.999,,,0.0,0.0,,,2.3935,0.0052075,2005.1,480912.2,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1713.0,2023-01-21 18:44:59.999,,,0.0,0.0,,,2.393,0.005208,136.0,443575.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1714.0,2023-01-21 18:45:59.999,,,0.0,0.0,,,2.3945,0.0052105,2047.5,1688341.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1715.0,2023-01-21 18:46:59.999,,,0.0,0.0,,,2.395,0.0052175,5544.1,2038409.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
