index,close_time,transaction_id,positions,ETHUSDT_units,SHIBUSDT_units,entry_ETHUSDT_price,entry_SHIBUSDT_price,historical_ETHUSDT_mid,historical_SHIBUSDT_mid,historical_ETHUSDT_vol,historical_SHIBUSDT_vol,signal,portfolio_value,ETHUSDT_raw_pnl,SHIBUSDT_raw_pnl,ETHUSDT_cost,SHIBUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
1342.0,2023-01-21 15:05:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1651.89,1.215e-05,136.3214,1664138841.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1343.0,2023-01-21 15:06:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1652.835,1.215e-05,571.1282,1218032234.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1344.0,2023-01-21 15:07:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1654.675,1.216e-05,1440.6195,6911838144.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1345.0,2023-01-21 15:08:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1653.08,1.214e-05,161.2419,4307915089.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1346.0,2023-01-21 15:09:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1653.5549999999998,1.2145e-05,176.7958,499422504.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1347.0,2023-01-21 15:10:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1653.485,1.2145e-05,37.4126,829391122.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1348.0,2023-01-21 15:11:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1654.075,1.216e-05,177.5454,4905301847.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1349.0,2023-01-21 15:12:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1654.32,1.2165e-05,79.3917,1175853713.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1350.0,2023-01-21 15:13:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1654.27,1.2165e-05,49.5879,2168995312.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1351.0,2023-01-21 15:14:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1654.47,1.2175e-05,98.9901,14482676714.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
