index,close_time,transaction_id,positions,XRPUSDT_units,TRXUSDT_units,entry_XRPUSDT_price,entry_TRXUSDT_price,historical_XRPUSDT_mid,historical_TRXUSDT_mid,historical_XRPUSDT_vol,historical_TRXUSDT_vol,signal,portfolio_value,XRPUSDT_raw_pnl,TRXUSDT_raw_pnl,XRPUSDT_cost,TRXUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
2073.0,2023-01-22 03:31:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40435,0.0608849999999999,78542.0,10231.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2074.0,2023-01-22 03:32:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4043,0.060895,13113.0,127239.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2075.0,2023-01-22 03:33:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4044,0.060915,6698.0,22589.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2076.0,2023-01-22 03:34:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40435,0.060925,166209.0,120291.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2077.0,2023-01-22 03:35:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40425,0.060925,28695.0,63622.2,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2078.0,2023-01-22 03:36:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40435,0.06092,56532.0,33192.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2079.0,2023-01-22 03:37:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40435,0.060925,68316.0,32254.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2080.0,2023-01-22 03:38:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40445,0.060925,30294.0,50633.2,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2081.0,2023-01-22 03:39:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40435,0.060925,44383.0,39020.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2082.0,2023-01-22 03:40:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40405,0.0608999999999999,76802.0,62253.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
