index,close_time,transaction_id,positions,LINKUSDT_units,ATOMUSDT_units,entry_LINKUSDT_price,entry_ATOMUSDT_price,historical_LINKUSDT_mid,historical_ATOMUSDT_mid,historical_LINKUSDT_vol,historical_ATOMUSDT_vol,signal,portfolio_value,LINKUSDT_raw_pnl,ATOMUSDT_raw_pnl,LINKUSDT_cost,ATOMUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
1886.0,2023-01-22 00:04:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.874499999999999,13.161,3472.9,1706.22,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1887.0,2023-01-22 00:05:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.880000000000001,13.1885,4417.98,2573.2,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1888.0,2023-01-22 00:06:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.878,13.175,1405.59,1498.34,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1889.0,2023-01-22 00:07:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.8795,13.18,457.98,489.69,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1890.0,2023-01-22 00:08:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.882,13.1865,2234.76,892.99,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1891.0,2023-01-22 00:09:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.888,13.1855,336.84,180.52,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1892.0,2023-01-22 00:10:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.891,13.1905,516.78,335.88,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1893.0,2023-01-22 00:11:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.891,13.194,3462.24,513.54,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1894.0,2023-01-22 00:12:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.8965,13.2105,2427.55,797.14,2.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1895.0,2023-01-22 00:13:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.896,13.2155,3205.59,951.4,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
